PM2.5,NO2,Latitude,Longitude,Temperature,Humidity,Wind_Speed,Month,Day_of_Week,PM10,CO,SO2,O3,City,Date
97.87,17.96,23.0225,72.5714,26.748,31.923529,8.913181,4,1,141.54,6.3,13.85,34.16,Ahmedabad,2015-04-21
63.38,13.28,23.0225,72.5714,27.598,26.866533,9.585739,4,2,141.54,3.44,24.79,43.62,Ahmedabad,2015-04-22
75.29,14.29,23.0225,72.5714,24.398,35.965137,9.693296,4,3,141.54,3.35,76.05,60.71,Ahmedabad,2015-04-23
80.9,18.62,23.0225,72.5714,23.748,58.577812,7.9526596,4,4,141.54,5.7,65.44,22.8,Ahmedabad,2015-04-24
103.29,19.82,23.0225,72.5714,23.548,66.71535,7.072878,4,5,141.54,4.55,85.42,22.18,Ahmedabad,2015-04-25
107.5,15.56,23.0225,72.5714,24.198,74.35772,6.8399997,4,6,141.54,5.29,74.37,10.12,Ahmedabad,2015-04-26
161.14,14.77,23.0225,72.5714,25.348,69.63838,6.489992,4,0,141.54,3.11,118.35,59.73,Ahmedabad,2015-04-27
102.58,12.74,23.0225,72.5714,24.448,66.68913,7.42159,4,1,141.54,3.88,41.94,26.89,Ahmedabad,2015-04-28
138.42,16.7,23.0225,72.5714,25.798,67.80257,6.87779,4,2,141.54,5.05,77.74,27.18,Ahmedabad,2015-04-29
129.04,14.86,23.0225,72.5714,24.698,65.08169,6.792466,4,3,141.54,5.69,78.27,18.67,Ahmedabad,2015-04-30
96.65,15.9,23.0225,72.5714,25.148,65.999756,7.754637,5,4,141.54,4.67,39.41,11.83,Ahmedabad,2015-05-01
126.77,23.93,23.0225,72.5714,26.198,56.41725,6.87779,5,5,141.54,15.69,93.18,36.71,Ahmedabad,2015-05-02
106.15,23.02,23.0225,72.5714,24.448,44.421974,8.373386,5,6,141.54,13.12,65.95,81.6,Ahmedabad,2015-05-03
86.31,10.5,23.0225,72.5714,25.998,57.816666,12.43434,5,0,141.54,2.69,50.13,90.54,Ahmedabad,2015-05-04
83.99,0.08,23.0225,72.5714,25.048,53.325623,7.42159,5,1,141.54,2.73,34.06,69.57,Ahmedabad,2015-05-05
65.11,4.58,23.0225,72.5714,25.398,57.85631,6.696387,5,2,141.54,3.14,22.27,32.26,Ahmedabad,2015-05-06
51.03,20.47,23.0225,72.5714,25.948,60.609043,8.942214,5,3,141.54,6.24,15.5,31.44,Ahmedabad,2015-05-07
38.73,19.28,23.0225,72.5714,25.948,73.96192,11.983188,5,4,141.54,8.0,20.13,25.7,Ahmedabad,2015-05-08
61.12,17.82,23.0225,72.5714,26.448,58.29082,11.090103,5,5,141.54,9.94,39.69,25.9,Ahmedabad,2015-05-09
58.44,17.24,23.0225,72.5714,25.648,64.67193,7.5942073,5,6,141.54,10.68,54.69,18.89,Ahmedabad,2015-05-10
61.49,16.69,23.0225,72.5714,26.648,74.53289,6.849467,5,0,141.54,11.44,42.66,18.2,Ahmedabad,2015-05-11
65.39,16.08,23.0225,72.5714,26.848,78.75939,9.826088,5,1,141.54,12.3,27.96,22.35,Ahmedabad,2015-05-12
100.92,18.9,23.0225,72.5714,27.698,66.318344,6.0347,5,2,141.54,20.42,31.9,22.84,Ahmedabad,2015-05-13
97.48,30.02,23.0225,72.5714,27.748,78.175896,6.489992,5,3,141.54,5.31,36.05,16.26,Ahmedabad,2015-05-14
129.27,28.33,23.0225,72.5714,28.398,50.86393,9.107359,5,4,141.54,14.28,70.13,25.4,Ahmedabad,2015-05-15
129.58,28.79,23.0225,72.5714,28.398,49.59175,9.983106,5,5,141.54,21.23,17.66,34.42,Ahmedabad,2015-05-16
100.57,18.79,23.0225,72.5714,27.898,35.280853,8.089993,5,6,141.54,7.56,38.76,38.83,Ahmedabad,2015-05-17
130.34,17.43,23.0225,72.5714,27.348,52.89337,10.30883,5,0,141.54,7.14,52.07,29.05,Ahmedabad,2015-05-18
53.24,15.86,23.0225,72.5714,26.748,71.20361,10.041354,5,1,141.54,8.05,36.23,21.58,Ahmedabad,2015-05-19
42.0,18.16,23.0225,72.5714,26.598,71.615105,8.089993,5,2,141.54,10.44,17.0,25.5,Ahmedabad,2015-05-20
50.1,14.9,23.0225,72.5714,26.848,74.56568,9.0,5,3,141.54,9.46,30.67,12.91,Ahmedabad,2015-05-21
83.69,17.18,23.0225,72.5714,27.248,76.00368,9.346143,5,4,141.54,10.89,41.12,35.61,Ahmedabad,2015-05-22
38.88,16.28,23.0225,72.5714,26.848,78.04642,7.4128532,5,5,141.54,2.18,26.4,12.47,Ahmedabad,2015-05-23
46.89,16.17,23.0225,72.5714,27.598,74.91485,10.739832,5,6,141.54,2.96,41.96,10.74,Ahmedabad,2015-05-24
70.96,15.47,23.0225,72.5714,27.998,74.30204,12.313894,5,0,141.54,4.12,23.67,16.01,Ahmedabad,2015-05-25
53.66,14.43,23.0225,72.5714,27.298,74.86636,11.592895,5,1,141.54,4.23,14.46,45.64,Ahmedabad,2015-05-26
45.49,13.73,23.0225,72.5714,26.898,81.4289,8.557102,5,2,141.54,4.26,12.85,71.85,Ahmedabad,2015-05-27
60.86,16.61,23.0225,72.5714,27.248,79.29283,9.007196,5,3,141.54,5.27,14.91,41.19,Ahmedabad,2015-05-28
51.93,17.87,23.0225,72.5714,27.648,70.28528,6.130579,5,4,141.54,13.71,15.33,12.88,Ahmedabad,2015-05-29
77.87,17.12,23.0225,72.5714,28.048,66.79797,7.928178,5,5,141.54,6.67,46.82,16.67,Ahmedabad,2015-05-30
57.59,15.47,23.0225,72.5714,26.898,75.25873,7.9526596,5,6,141.54,5.6,41.68,25.51,Ahmedabad,2015-05-31
77.22,15.47,23.0225,72.5714,26.998,73.237564,7.69592,6,0,141.54,7.02,71.97,9.56,Ahmedabad,2015-06-01
45.29,12.74,23.0225,72.5714,27.098,75.06204,8.39657,6,1,141.54,7.25,18.64,6.32,Ahmedabad,2015-06-02
103.78,13.9,23.0225,72.5714,27.748,69.45,8.534353,6,2,141.54,6.36,7.76,15.27,Ahmedabad,2015-06-03
25.14,18.73,23.0225,72.5714,28.348,71.4915,4.5536795,6,3,141.54,6.01,38.05,38.52,Ahmedabad,2015-06-04
87.03,17.88,23.0225,72.5714,29.448,49.709312,6.3690495,6,4,141.54,8.05,23.84,48.22,Ahmedabad,2015-06-05
89.6,19.84,23.0225,72.5714,29.898,52.874104,9.531505,6,5,141.54,6.59,48.05,44.78,Ahmedabad,2015-06-06
80.69,16.07,23.0225,72.5714,30.648,48.634464,10.440001,6,6,141.54,6.86,39.85,32.65,Ahmedabad,2015-06-07
44.75,16.53,23.0225,72.5714,29.398,71.89426,8.669949,6,0,141.54,7.76,9.89,8.07,Ahmedabad,2015-06-08
38.11,11.62,23.0225,72.5714,28.648,79.01,10.966713,6,1,141.54,7.41,3.13,6.69,Ahmedabad,2015-06-09
45.5,15.59,23.0225,72.5714,28.648,75.99163,9.6932955,6,2,141.54,8.56,0.76,3.82,Ahmedabad,2015-06-10
36.98,11.52,23.0225,72.5714,28.998,77.42345,7.69592,6,3,141.54,8.21,0.52,5.17,Ahmedabad,2015-06-11
43.58,13.33,23.0225,72.5714,27.848,86.0475,6.9247384,6,4,141.54,8.26,1.02,7.56,Ahmedabad,2015-06-12
45.49,14.91,23.0225,72.5714,29.198,69.09259,7.145796,6,5,141.54,9.63,0.81,2.94,Ahmedabad,2015-06-13
38.06,18.57,23.0225,72.5714,27.748,82.27044,6.162207,6,6,141.54,8.67,1.05,4.63,Ahmedabad,2015-06-14
45.41,20.55,23.0225,72.5714,28.448,73.705605,7.10031,6,0,141.54,9.35,0.74,4.5,Ahmedabad,2015-06-15
37.71,16.26,23.0225,72.5714,27.848,81.05979,8.534353,6,1,141.54,8.54,0.87,4.6,Ahmedabad,2015-06-16
32.37,14.36,23.0225,72.5714,26.948,87.51743,9.360001,6,2,141.54,7.53,2.17,12.17,Ahmedabad,2015-06-17
34.74,13.51,23.0225,72.5714,27.548,84.99825,7.628263,6,3,141.54,7.59,4.11,12.22,Ahmedabad,2015-06-18
32.56,13.91,23.0225,72.5714,27.348,87.031815,8.557102,6,4,141.54,7.34,4.04,11.85,Ahmedabad,2015-06-19
29.28,11.68,23.0225,72.5714,26.698,89.61308,9.178235,6,5,141.54,7.55,4.01,12.64,Ahmedabad,2015-06-20
20.46,10.61,23.0225,72.5714,27.548,78.14722,10.00256,6,6,141.54,7.15,5.62,12.7,Ahmedabad,2015-06-21
26.07,11.07,23.0225,72.5714,27.298,82.21661,8.225035,6,0,141.54,7.99,4.1,10.57,Ahmedabad,2015-06-22
21.43,11.16,23.0225,72.5714,26.498,84.126595,13.281023,6,1,141.54,7.45,4.99,7.38,Ahmedabad,2015-06-23
11.91,10.1,23.0225,72.5714,26.448,89.060394,14.386494,6,2,141.54,7.34,10.86,5.47,Ahmedabad,2015-06-24
57.75,9.68,23.0225,72.5714,26.998,89.10256,14.168641,6,3,141.54,8.68,12.28,3.06,Ahmedabad,2015-06-25
66.39,12.79,23.0225,72.5714,26.348,88.52077,12.10157,6,4,141.54,8.58,11.09,4.96,Ahmedabad,2015-06-26
62.61,9.83,23.0225,72.5714,26.398,88.790306,10.24578,6,5,141.54,9.15,12.31,6.44,Ahmedabad,2015-06-27
47.5,9.53,23.0225,72.5714,26.148,89.57275,8.759178,6,6,141.54,8.07,13.91,7.28,Ahmedabad,2015-06-28
111.8,11.51,23.0225,72.5714,26.798,83.152534,9.19939,6,0,141.54,9.23,5.27,5.99,Ahmedabad,2015-06-29
30.0,13.59,23.0225,72.5714,26.748,78.50692,8.287822,6,1,141.54,8.87,8.09,6.31,Ahmedabad,2015-06-30
4.66,10.9,23.0225,72.5714,26.948,78.060875,10.587918,7,2,141.54,9.01,7.31,6.38,Ahmedabad,2015-07-01
48.72,11.94,23.0225,72.5714,26.648,79.69188,10.009036,7,3,141.54,9.56,5.72,6.61,Ahmedabad,2015-07-02
49.7,9.81,23.0225,72.5714,26.898,77.81728,11.966954,7,4,141.54,9.43,6.78,6.42,Ahmedabad,2015-07-03
48.1,9.53,23.0225,72.5714,27.148,78.80145,13.779114,7,5,141.54,8.03,9.33,7.6,Ahmedabad,2015-07-04
47.43,9.45,23.0225,72.5714,27.548,77.67691,15.273505,7,6,141.54,8.11,7.93,7.08,Ahmedabad,2015-07-05
51.74,12.38,23.0225,72.5714,27.398,78.125656,16.179987,7,0,141.54,8.91,10.05,5.78,Ahmedabad,2015-07-06
42.68,11.08,23.0225,72.5714,27.398,78.59886,14.512064,7,1,141.54,9.74,10.87,4.44,Ahmedabad,2015-07-07
38.45,7.8,23.0225,72.5714,27.398,78.125656,10.703569,7,2,141.54,10.55,10.28,3.24,Ahmedabad,2015-07-08
46.69,0.17,23.0225,72.5714,27.448,77.1942,12.783802,7,3,141.54,11.48,10.25,5.76,Ahmedabad,2015-07-09
55.27,0.12,23.0225,72.5714,27.398,77.65497,12.979984,7,4,141.54,11.55,12.7,6.55,Ahmedabad,2015-07-10
149.03,0.16,23.0225,72.5714,27.198,75.535774,9.387651,7,5,141.54,11.49,10.07,7.27,Ahmedabad,2015-07-11
86.57,0.17,23.0225,72.5714,28.398,73.25319,10.948973,7,6,141.54,11.47,11.09,6.53,Ahmedabad,2015-07-12
111.77,0.24,23.0225,72.5714,28.598,70.674484,11.923557,7,0,141.54,11.3,7.73,4.67,Ahmedabad,2015-07-13
151.4,0.36,23.0225,72.5714,28.598,72.18841,10.137692,7,1,141.54,10.8,7.8,5.46,Ahmedabad,2015-07-14
51.35,2.69,23.0225,72.5714,28.048,71.655266,11.923557,7,2,141.54,8.0,10.0,5.76,Ahmedabad,2015-07-15
65.37,8.07,23.0225,72.5714,27.398,75.79688,11.808878,7,3,141.54,0.64,16.31,8.02,Ahmedabad,2015-07-16
56.28,8.02,23.0225,72.5714,27.898,77.02855,10.948973,7,4,141.54,0.6,18.93,6.2,Ahmedabad,2015-07-17
48.17,8.0,23.0225,72.5714,28.348,73.24471,10.296251,7,5,141.54,0.65,18.99,7.97,Ahmedabad,2015-07-18
33.56,7.89,23.0225,72.5714,28.198,73.88685,10.661107,7,6,141.54,0.72,11.28,10.18,Ahmedabad,2015-07-19
31.3,8.1,23.0225,72.5714,27.148,78.32632,9.3876505,7,0,141.54,0.55,10.29,7.44,Ahmedabad,2015-07-20
48.12,7.9,23.0225,72.5714,26.648,86.18992,6.12,7,1,141.54,0.67,1.28,6.3,Ahmedabad,2015-07-21
57.11,8.28,23.0225,72.5714,26.248,94.24324,2.968636,7,2,141.54,0.55,14.58,2.6,Ahmedabad,2015-07-22
34.72,9.73,23.0225,72.5714,25.648,96.78275,7.2,7,3,141.54,0.1,13.62,4.87,Ahmedabad,2015-07-23
29.22,9.57,23.0225,72.5714,26.648,89.34222,7.9526596,7,4,141.54,0.06,13.58,5.08,Ahmedabad,2015-07-24
29.79,8.64,23.0225,72.5714,25.748,95.06999,11.879999,7,5,141.54,0.14,15.11,5.34,Ahmedabad,2015-07-25
59.95,8.78,23.0225,72.5714,24.648,93.047676,13.684735,7,6,141.54,0.18,11.52,2.79,Ahmedabad,2015-07-26
19.2,9.45,23.0225,72.5714,24.748,92.77267,20.390114,7,0,141.54,1.52,11.23,4.61,Ahmedabad,2015-07-27
19.52,11.26,23.0225,72.5714,24.648,91.653786,24.696104,7,1,141.54,5.89,11.56,4.4,Ahmedabad,2015-07-28
35.16,10.89,23.0225,72.5714,24.848,90.565346,28.894344,7,2,141.54,5.75,14.7,3.67,Ahmedabad,2015-07-29
33.03,10.58,23.0225,72.5714,25.698,84.8066,17.595861,7,3,141.54,7.01,12.95,3.53,Ahmedabad,2015-07-30
40.95,10.47,23.0225,72.5714,26.098,82.07199,16.279802,7,4,141.54,6.92,19.8,3.38,Ahmedabad,2015-07-31
40.29,10.52,23.0225,72.5714,25.798,83.2898,14.799459,8,5,141.54,6.74,8.27,3.57,Ahmedabad,2015-08-01
41.16,10.51,23.0225,72.5714,25.648,83.77954,10.948973,8,6,141.54,6.91,13.48,3.69,Ahmedabad,2015-08-02
36.12,11.56,23.0225,72.5714,25.448,85.81448,9.0,8,0,141.54,7.21,13.62,6.08,Ahmedabad,2015-08-03
28.51,20.52,23.0225,72.5714,24.948,89.75492,12.324414,8,1,141.54,6.69,5.69,7.65,Ahmedabad,2015-08-04
31.59,20.42,23.0225,72.5714,25.148,87.09551,8.669949,8,2,141.54,6.99,9.23,7.9,Ahmedabad,2015-08-05
42.56,20.4,23.0225,72.5714,25.248,87.3686,10.966713,8,3,141.54,7.17,6.28,9.86,Ahmedabad,2015-08-06
48.12,20.3,23.0225,72.5714,24.848,91.11412,6.28713,8,4,141.54,7.14,6.77,12.78,Ahmedabad,2015-08-07
37.09,20.21,23.0225,72.5714,25.948,89.55803,8.669949,8,5,141.54,7.22,8.66,7.94,Ahmedabad,2015-08-08
33.4,20.09,23.0225,72.5714,25.698,92.26764,5.3999996,8,6,141.54,7.4,9.95,8.39,Ahmedabad,2015-08-09
38.64,20.21,23.0225,72.5714,26.398,91.48427,4.452954,8,0,141.54,7.35,9.74,6.28,Ahmedabad,2015-08-10
40.49,20.23,23.0225,72.5714,26.248,90.38805,5.4833565,8,1,141.54,7.48,8.92,21.51,Ahmedabad,2015-08-11
41.37,20.2,23.0225,72.5714,26.298,89.58375,7.386582,8,2,141.54,7.47,11.73,19.8,Ahmedabad,2015-08-12
44.56,20.06,23.0225,72.5714,25.448,96.77807,4.0249224,8,3,141.54,7.49,11.23,22.77,Ahmedabad,2015-08-13
65.68,19.94,23.0225,72.5714,25.048,95.90328,3.219938,8,4,141.54,7.57,8.21,30.21,Ahmedabad,2015-08-14
33.34,20.27,23.0225,72.5714,25.698,95.35229,4.8965297,8,5,141.54,7.3,6.41,32.95,Ahmedabad,2015-08-15
39.17,20.24,23.0225,72.5714,26.148,90.381195,9.178235,8,6,141.54,7.35,9.17,26.64,Ahmedabad,2015-08-16
34.0,20.1,23.0225,72.5714,25.948,87.43018,7.729527,8,0,141.54,7.41,9.64,17.17,Ahmedabad,2015-08-17
36.38,20.14,23.0225,72.5714,26.498,85.40217,6.9153743,8,1,141.54,7.31,10.65,13.35,Ahmedabad,2015-08-18
38.35,20.16,23.0225,72.5714,26.098,92.014465,7.42159,8,2,141.54,7.41,9.33,18.59,Ahmedabad,2015-08-19
38.5,19.67,23.0225,72.5714,25.398,87.11803,8.942214,8,3,141.54,12.38,10.37,16.33,Ahmedabad,2015-08-20
39.61,14.84,23.0225,72.5714,25.498,85.81939,12.738099,8,4,141.54,17.31,10.76,5.38,Ahmedabad,2015-08-21
61.79,14.82,23.0225,72.5714,24.748,89.46906,10.464797,8,5,141.54,17.24,12.39,8.06,Ahmedabad,2015-08-22
43.22,14.82,23.0225,72.5714,25.198,88.42771,9.449572,8,6,141.54,17.17,11.68,37.87,Ahmedabad,2015-08-23
33.41,14.86,23.0225,72.5714,25.548,85.5649,9.255571,8,0,141.54,17.12,12.96,86.83,Ahmedabad,2015-08-24
36.9,14.85,23.0225,72.5714,25.598,86.6112,8.905908,8,1,141.54,17.08,4.73,54.01,Ahmedabad,2015-08-25
